id,rating,content,created_at,updated_at,hotel_id,user_id
1,3,Fusce consequat.,2023-11-17,2024-03-14,473,573
2,5,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2023-10-20,2024-07-27,469,779
3,4,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2024-01-20,2024-09-12,466,352
4,2,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2023-11-01,2024-10-01,681,162
5,4,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2023-12-12,2024-09-11,817,46
6,4,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",2024-01-23,2024-05-10,59,161
7,2,Fusce consequat. Nulla nisl. Nunc nisl.,2023-11-07,2024-06-27,43,138
8,1,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,2023-12-20,2024-06-19,377,872
9,3,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",2024-02-11,2024-07-17,152,315
10,2,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2024-01-06,2024-06-16,901,229
11,1,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2023-10-28,2024-06-15,972,818
12,5,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2023-12-22,2024-08-05,802,312
13,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",2023-10-28,2024-03-15,717,906
14,3,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2023-10-29,2024-09-22,253,301
15,2,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2023-10-08,2024-06-15,191,45
16,4,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,2023-11-08,2024-06-21,934,27
17,3,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",2023-11-03,2024-06-20,267,641
18,4,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",2023-11-13,2024-09-30,354,996
19,3,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2024-01-24,2024-07-01,926,774
20,2,Sed vel enim sit amet nunc viverra dapibus.,2024-02-02,2024-04-24,318,848
21,2,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,2023-12-31,2024-08-20,819,808
22,1,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2023-10-05,2024-05-07,379,493
23,4,In eleifend quam a odio. In hac habitasse platea dictumst.,2024-02-13,2024-03-05,156,972
24,4,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,2023-10-14,2024-07-15,11,925
25,1,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,2023-11-14,2024-06-29,272,535
26,5,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2023-10-09,2024-08-18,90,121
27,5,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",2024-01-30,2024-08-27,187,313
28,5,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",2023-10-16,2024-07-03,441,30
29,2,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,2023-12-29,2024-04-28,680,934
30,4,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2023-11-14,2024-03-08,231,395
31,5,Quisque id justo sit amet sapien dignissim vestibulum.,2023-10-05,2024-09-11,593,565
